4581 12
290010629 567022432 698993
101428603 462200379 647490
901953834 925652176 729683
119039727 478509927 746203
929718521 973941410 368831
652859729 753162078 51531
255530003 935375018 3479
503746559 894735833 844657
673065393 869907811 67431
45414270 686444353 14712
217755392 241082197 46455
4186041 648449456 532600
390330947 538855553 748689
970219072 998108851 405635
26671953 612166397 295270
291023803 942742566 511425
113279755 622702095 604484
136272093 760987114 313157
381122534 765194168 530083
544013568 703002106 133474
211839712 807888657 971384
431274895 588579163 246195
504057642 989211804 608874
105928836 290321453 85919
317604475 956380585 156065
63184243 818546197 714699
781146019 979338284 777222
766231047 972403688 352614
373785483 556072686 73859
161041313 758253349 937202
72164810 512759628 867213
965722479 984703255 899888
23965887 762761680 147828
97748636 417764518 753550
366010997 958588996 837882
94535367 928499615 501589
522807948 679030106 743396
369858587 584255327 123177
352108368 938627733 497155
914648228 919535266 276859
129045655 176350415 351969
624986146 661483188 961974
852259421 863517351 70013
445197517 523722189 224584
578926508 939603496 562464
956484630 969960216 360350
342971357 508151666 171330
747424344 879025965 690795
798664567 806314793 692634
548856402 744713412 962497
111498776 201348670 980153
833956147 964109393 108068
938724295 952388632 273290
518593069 586273121 274228
486492526 596418748 490619
436771410 906793618 457712
370834708 565581932 976238
393808344 950821783 476342
670075920 863250256 496919
772182844 821129390 371358
801518517 885548345 196093
829649512 995180943 257599
881801050 990454862 590704
623822676 797185069 945028
929763485 947931372 701062
296002833 531991350 741491
194411499 463629289 22037
320969106 358184340 598799
824315699 909805178 62537
612363450 634308174 497218
57016671 335599399 862937
895881467 910868572 344043
118944691 880829480 345182
773815782 917564665 923811
550651521 871639681 957679
128715681 476689569 518882
454132866 598157532 724637
545065337 822584418 880054
643538338 811201885 75244
95913822 857895332 584850
897678215 985872050 88970
456692904 780783961 321675
49624774 696316051 255200
535152007 815427124 685572
628951738 734913162 950348
144720262 880665113 529985
202230622 592154445 553237
621357016 755481177 258383
195711871 395220728 233161
614143920 747912706 606290
663221885 970125829 605875
686543925 732111076 484269
837195221 878183087 347240
118257645 977387044 211606
5312897 461297901 119455
90631544 453400378 720813
704396297 812109055 214761
299575586 868037907 801123
920964826 976523841 393100
78476520 848311360 165886
518322 39816280 325195
853616895 896102013 395961
430618793 730007676 332070
942875759 948746536 131356
533999288 787162776 432646
344480603 856669287 328003
451821987 959505452 807108
184249288 498045833 268813
130382303 718328331 17044
796873258 803939386 166032
953866462 978950471 28248
514614113 687366264 46737
310328856 970347580 275898
339176881 801251971 448056
908767481 918403695 33361
893922921 917742704 279584
752479403 784276845 612886
192375726 978453584 172375
284664228 819180765 369323
820837641 835766191 307428
558824400 581003847 212838
309031542 570146968 24995
141715558 820997014 798313
231526046 513442715 420151
950414391 975834295 52156
232503618 251611793 184571
522442421 660067971 741206
365416010 972892920 737289
650226824 832671168 627830
570818390 643274226 371583
832217768 867566424 1813
944156857 955137026 410088
893591254 906554263 759966
723214792 737917246 66741
967012753 979418545 269278
739467573 969292139 425415
507842190 540249852 56146
425414377 611588146 195825
812457404 894795414 873394
942810937 951436185 79493
258205943 526128234 247691
368245034 999647515 434204
234083613 746237641 990433
448634284 828286626 347674
348410927 479427401 489878
72216912 993589555 921372
804925901 981555154 937766
192605156 649829738 133945
637332209 762888004 867892
912479969 921254104 914875
3991002 955843966 230416
231911178 731397312 88998
738390690 740709409 991973
654828470 816931999 972168
874338313 975235115 433981
384007544 572182923 694087
946758872 958756148 868193
590934091 898978115 97266
332546538 926919515 945278
758255578 852468127 995864
985040829 999606729 332623
98636235 416493299 703294
81242202 730281776 877860
922527637 965103959 631380
515791018 973346240 961715
517613353 797575601 90289
969301400 972810960 951859
583584843 658741451 374164
396245251 607940697 272360
550539680 975659545 703039
681148234 758482043 577745
399926996 955835459 108572
43972611 255395959 615161
573294069 652752324 961820
277616336 774499154 941670
461452033 538293279 80629
113663456 563123916 480704
556390697 840831388 469449
902315405 996040746 917424
533243250 549325015 920846
610344111 793968869 65119
909326255 972675740 712973
965074414 998005520 695646
27692350 511920917 355166
547875722 688468344 197956
71875863 181283925 732170
983918234 993756202 590357
834451898 928970779 920289
816187222 831043800 667400
547926449 944566250 899927
599914983 679553521 202510
945107333 986441852 114478
1103386 214969913 757293
500183995 794727005 204613
234344912 288305729 605323
432779658 510580301 161435
841158016 940426802 827840
184853123 780102496 777405
63931874 646543873 601806
550968472 769811283 832026
180553976 871525898 449437
275071250 544669495 718269
691581887 791556575 389173
881923772 882065888 821905
806171072 947639358 934723
605748630 922580890 999483
402110378 635894219 738040
218260877 336969319 212855
837655040 948240489 951232
929494939 944159552 57733
393042490 592489281 938458
340625042 659435262 138924
360686543 654872198 909666
766173216 991607120 158102
682141118 822424112 930629
300320366 913198325 790864
694037271 739719264 325255
904234000 936372796 948000
920043504 953153316 132858
137011221 390268371 564337
726441548 816070302 469843
691228104 890472670 410385
13898589 198817096 904690
427862016 500159223 864501
895576846 993454716 54284
90987320 350080103 934675
470164284 643967095 560618
269868088 694174485 969712
690243347 750764644 634244
134442055 763337333 96124
317103857 967195008 455251
581341037 890697323 107831
279001461 285511754 999096
971094849 987173357 625209
233208305 530457347 429495
195119530 428253616 503758
140777223 351806483 206266
684456068 787129840 618323
444598763 766211199 199229
370985148 665247539 942835
583922753 962097284 822125
809930677 820682230 275382
755359952 932324082 730883
588336298 980500335 478353
178562360 700554407 975885
118546638 377003139 678186
682414923 953501950 626645
917324491 918300019 93310
577322069 986009177 408172
255552396 841908900 994912
292225181 874134763 749136
683850498 814164656 324928
679520677 829030772 897813
784146947 957488261 292049
112389757 906918114 377478
907288840 914058840 987079
543653178 768702898 985847
738392144 995679315 256741
269308567 954917738 915481
989476788 999654930 180872
520619078 660241846 785643
160653671 589604941 360652
384689181 472636169 389300
835346290 919088875 560238
293796692 421058885 870676
278999772 802653654 15578
85887514 507388837 232946
144743730 983018958 955695
361718813 811892438 104304
804350780 873399116 305392
838993997 853127383 953096
22747860 146805132 945603
900446916 911478599 768533
686979588 818564346 781451
491919621 527415175 368611
141087225 265760966 408638
22607003 219015709 549766
958145775 980091301 949925
23337417 502464964 412809
786503179 912803411 682180
147418036 497660609 102007
651367645 810509181 572441
419354266 952166030 41415
826757932 827040242 612519
257041319 904949986 295118
93374910 952702380 189245
538395320 835995023 235919
865769656 926454984 78675
549040069 874151093 724702
222093490 283168967 824396
806170706 856461773 954114
109463295 721490848 255558
873471521 873916761 736556
90316376 789947438 237278
129413110 785044228 924813
722727964 767420477 648160
702445417 891111879 935695
692349671 829876717 257812
74468166 796394549 666582
584388849 724850252 994477
764132073 976182154 711465
308959022 417889997 467941
392030625 810835041 330260
147379250 735328699 348369
660488635 837271282 736134
940900181 970802295 655713
127594951 961485032 337906
801785997 997447633 208136
517241037 712338571 478565
226117509 335997573 946107
298612428 691368457 859987
675624966 772055789 121098
762040205 896592724 30130
348912335 427320974 320072
62700555 568091562 675417
687696050 758550295 151657
991091594 994681173 837503
666306032 790352950 95238
226774155 370400590 619442
159991217 300427108 212771
683071339 950121519 112405
374449918 760940101 369194
566885271 910352266 546257
931454143 978892044 675455
105892185 224373517 985900
894050624 976959345 341805
152017680 701444197 37765
28704366 614176442 937657
892922825 930776589 124611
248703418 449865818 375392
633409324 861514954 100062
495087143 703854985 412446
76544771 552803641 364155
566811357 730819143 167805
60280475 852069309 342150
214012828 474777705 693291
250451761 492752977 94175
940753069 950189801 708441
470682132 504207827 408622
962848491 978040394 696443
454994164 540036321 673010
234551091 766058805 135239
563143255 760493554 402533
222710154 557944475 245691
644054169 665203727 346371
940030771 965927177 897214
556611898 658807261 849584
76910251 983961563 5608
