43 3799
610535339 938949634 880036
829261289 996901663 524012
979900065 994008089 879780
867321318 963540499 86598
445241078 496628441 986630
984428416 994195813 354809
645624562 848458974 281880
916419647 939849542 704122
629636803 952069733 408097
975075877 981807225 395634
205116401 943912531 387136
474991556 994700033 589819
385074739 693960175 67736
71355047 532783133 867362
711683999 876388867 968480
826160277 943085512 369935
404224585 553467404 625495
715475957 943991317 370204
829293999 838113261 496879
254116559 806624750 796385
146741430 742085827 627032
131806201 540355335 196833
616128545 885792430 586237
479498788 766747623 916754
604983805 806457126 181635
194557621 332102595 469748
998714884 999096278 565886
691369941 933618806 901755
148507957 352973244 965822
849137792 936097917 180762
597332018 914851662 322213
766174122 914710086 863288
591656316 995090870 120759
369692056 943104003 847644
736895150 854054828 613672
556646393 619833720 351399
273903040 372343523 277229
411453849 434997436 669206
572865749 701082608 584006
564725433 759841560 752803
152957032 397900072 42364
294765359 879822417 529251
181490546 283579321 361033
