21 36028
573793588 975943301 273967
225733824 505492075 140890
940339033 988288060 317623
103115502 754630266 627496
567066256 867558790 728417
983212940 988032406 255984
391213587 879023712 148112
236857990 324452211 343813
40729798 501874917 600380
702626147 741033586 341402
36401928 856545548 757087
416399413 669230477 917659
400570975 491484838 78850
330703306 767270132 846052
737167807 918100331 449148
951650761 989095202 971855
727588238 841108558 583915
781013634 823575655 124426
165794137 807650022 945732
390856186 732896661 74184
134079188 361511282 723599
