2519 372
29693074 826292217 852089
136864444 205619292 689246
253435480 372123234 95544
850598682 930641391 71785
901746927 978412187 60895
395137987 478341822 686600
192661255 820827516 151212
273805458 373842176 491277
103369745 251878096 413048
790186469 825708580 832875
886911167 992472761 220412
186203000 807445490 418177
359108442 846662447 396766
863873777 907048754 607624
161102282 577837501 719418
401266889 424707848 225438
865840665 902099757 568503
975847623 991527805 632204
496164855 865859795 487167
798314696 847025777 591769
406206823 530151086 131335
797913209 853051143 906134
606840280 929391967 314530
336828212 675236383 233419
34168088 441419954 267271
602628435 944332269 17584
782689221 942607234 97923
966289916 990241125 351792
272458394 425849541 143784
255634942 881674650 385247
745193606 745883333 5939
632135943 987751266 581702
830059137 963499671 223942
957166674 967229677 400621
12964768 741990635 312376
558987438 655270986 480174
833800744 861823864 324092
826679666 849912528 950904
649509485 738964496 191203
637871006 863951161 341910
209734916 954865792 353141
510637780 903330728 188480
410625896 605798587 622566
116204362 653278228 433499
858806393 951043841 563758
10582353 378039422 295952
933916209 975070910 829386
953430741 962946286 939894
157931319 890334127 443416
272808542 472219621 905608
643081071 770577291 119200
92780629 921292081 118480
427756739 758159329 867231
774956053 947338995 205442
713438782 727169684 602206
726889869 763778617 14662
173472888 997508658 309795
657837402 948661393 596696
471822169 579418313 478541
722076650 886193280 682433
916180709 997115445 773377
142475378 874628440 328333
233244504 262352630 63665
798167805 976991270 853722
810846801 995422926 610662
629002543 873585392 822268
627648217 791841898 837096
905652434 953185862 187874
718382123 890878702 148085
77467164 320701079 17152
60262476 865621651 544241
940285399 944966429 682157
571607132 822375526 58211
534126052 795431517 428838
22885550 162969622 311150
617142554 936076341 463058
32784542 94168920 434318
444233424 819529124 267285
534986898 985901290 744363
773090543 919516950 279553
294939478 676997894 864700
606022811 709325367 460188
314471173 910013454 991447
217324028 573558792 413645
743603663 867671596 527236
511531729 701724413 47698
505841605 853344867 714333
432277968 970041376 845631
310722399 859259876 11108
463361591 704152308 370550
610326491 708027974 692780
240210032 692504643 275380
544895093 674195496 730006
26763792 902843580 626271
290735370 837395466 471451
465794777 783980441 898650
499307633 666029019 353583
862236359 952763013 853782
406294954 770713913 769244
669927591 726849947 148184
494732793 758840025 538576
614080735 999761781 305507
123449288 167004302 813472
591136014 645911258 258759
913153116 965542436 457290
459674550 658696834 211814
76017844 661821315 586340
299439129 987421812 954191
126184605 396369784 862543
307548149 789109718 66123
559295080 880066769 397134
771657717 807998270 522501
80141512 351520545 606683
433102816 922561439 485505
818912916 966684129 954639
305040171 867517720 438278
631838336 977690271 699667
583410720 741500866 46735
746260146 939464698 357140
722704545 884010358 499036
872592712 969592924 473483
217861956 501672741 586721
709371626 814579007 64354
846026132 986446952 205620
527488870 793543607 143866
900134482 929693063 676104
468845918 982110695 659514
173864061 594856214 703518
774551742 904575026 18566
513050685 952464373 221714
546564737 816433010 83472
719482327 932705732 162621
835306435 836045106 370600
11591001 498202592 241734
790762131 853794230 192563
834133227 886314036 493652
81599025 630523559 362035
137937296 314568242 135511
42040362 114639627 179324
463938151 696832934 995650
416278241 470977210 930924
920033582 956355794 781134
217248740 701843253 997830
119182289 416841156 790297
418045040 782310161 942067
493454836 908836290 802192
388544261 618055323 782345
936096582 980977827 81199
193620633 801850083 435510
764425559 860515406 794253
738329424 821766097 1007
527519445 908230530 404
359043072 992056672 26698
511009869 634411456 52590
639853231 680454504 888853
642240686 938875979 838351
540591304 685239572 659908
632522625 941751911 796640
898677346 940894634 29914
164454136 744034575 487917
549462945 791223568 394450
961410416 986022033 90119
682889712 819374243 541178
762660879 899538413 496646
233417731 922481983 488046
201881488 423857764 248544
456367022 870623726 868366
308973828 532358601 904939
995550786 997788280 796025
299250368 928976084 4644
791242225 838406704 850893
656431589 775860843 410860
43749599 977090253 519008
623258577 736601396 812892
39641213 433397064 486129
177660731 936348881 915446
160247587 723677953 5469
338262914 955956394 975107
919917820 971711547 752274
602722883 914422755 940306
938161347 966972314 808992
796020442 980238441 509543
897433460 923560932 682815
871172212 982885800 203490
418035568 554186462 278964
86477091 202790407 299125
248146692 537336580 369084
974722000 988552307 241212
855502059 922330881 512988
976524001 993350876 374414
281455592 654117345 394547
937950738 962028391 95102
564508667 629601839 85280
523326959 615267934 278259
597347728 686452369 219529
805957533 871484603 278193
470492889 580763276 939625
725598154 769764175 637911
434696424 843701079 229573
631097213 757025673 567132
266386212 591095195 230354
308223131 355426998 199062
352429804 607185668 296153
232144127 766616538 210091
814098875 862092652 917090
573909191 786314288 657341
640234763 902864494 422625
503867905 954098865 945870
99517943 226122338 635939
181356870 259289266 912756
611988357 880353836 67492
363499521 768362177 558545
473714153 702844497 873562
226264189 841718314 758102
195870070 219266845 487043
976902068 992170947 383582
830115333 940407066 844108
143199129 758865244 84512
993914289 996026073 93241
971947755 977563655 341402
179290568 798017456 86043
229476562 448983439 818528
505191099 824778969 91600
423142179 747905816 495934
625985897 660352251 494239
806113082 843720777 940645
712005671 960359176 424978
897592346 915828274 394543
553809258 585396559 957186
22310959 105925039 911353
83144655 322708406 238582
329074761 624364452 908788
820000921 964015023 567731
634106397 777212041 222733
552041419 572246659 156033
372945482 433599144 644662
293457742 320904170 516659
685998694 769322843 644132
222245798 784495104 519752
193522937 326914229 815599
289777838 530391065 388333
369319489 765606368 958454
602977253 860994027 941758
35400554 895044181 932212
794086904 897344852 238251
225196066 923562642 634642
338494190 568024064 727156
440011331 738213675 518854
909151541 953454218 367158
426051175 744655329 541700
948468203 950298496 421270
98049103 217202752 488325
378347425 839405802 940705
187538206 491968434 752128
862688453 921648348 939657
438185564 888699605 793880
600306943 827810138 552537
943149200 970720273 592229
512554694 913676240 489428
692011013 979953423 255754
982106725 995625073 588112
659868359 908985598 536795
563127355 608270767 46557
647334421 709030512 590159
994194897 997987537 213290
732395430 864914019 548520
184426650 315070080 214279
852700802 900073987 164613
213719643 741051476 990307
54341479 346977312 11902
789859119 848611722 2810
258512380 922989845 658625
550233454 863417847 427318
278845381 591672464 701515
820687777 921747279 235089
570939093 664717224 495649
413731352 973437196 113561
669188331 914139103 195917
208830682 978845487 336197
333534596 956539953 560439
902275386 989565456 77697
60987470 899985060 542502
118797236 655407362 398090
811969780 816709996 205379
760833137 774954704 533208
619991791 880188386 888349
66735431 425163883 23161
932220046 978821966 169669
680550123 983092488 115929
275838693 897526473 560823
410339384 971424626 744078
767849151 947846302 630896
398537637 748584607 370975
188055394 811546454 591272
468761465 684513825 180931
286103607 773240948 664599
282388127 328191504 484160
472877630 710833096 472956
376402983 539100864 204476
211551577 495233741 615215
331398676 993334573 306734
541036990 976896006 87230
769673481 845930402 802088
99786818 559465404 227113
539706135 895839309 261804
676864285 729355964 133708
28840071 130917957 653253
276810763 316458018 385260
641686771 704338471 897655
358322927 660852180 436466
758943538 976272696 334418
935407562 946451456 210006
803639033 832255606 493831
688055148 982067975 195394
762050867 820542308 210511
112249982 434469982 789665
346692658 489121065 989556
535889061 643121474 409265
952393844 976276623 776864
128057885 896241199 527447
397241832 423252390 679002
15834765 286211037 147979
482885491 798888336 961790
404441840 569593656 843934
773097200 940192281 956068
279653318 931460248 776349
647373261 796503259 776658
367191548 965553094 57716
277046291 654085673 228241
70565424 115215949 951296
366408304 785063631 47397
91314757 766848206 153564
436601039 944663743 294418
560206906 768556771 598941
140729996 974353680 189660
403864227 936347767 331668
38794008 444525445 971726
452129233 547381604 644256
56257311 473540884 807436
472817037 554967567 313703
737372135 949240516 474488
303075877 842973800 538259
346939456 627591170 301727
713390062 805058471 388210
936157806 999947262 268259
105591849 356381379 452489
137885105 478590067 863213
7385936 10881353 779139
421861252 790361743 589593
699443761 922322326 647807
985247003 987922153 438884
694080226 873037701 208196
533873338 871812623 301788
626920024 718849412 651094
933845813 997696890 914776
129410534 552772861 946082
648030182 816862170 272757
901754361 939735257 674771
563353582 969829379 328795
881710810 975617955 245363
532276689 552914166 813637
141784906 757890726 718676
364049633 677120126 146094
189578941 373239637 815344
530772498 630245343 614779
683477523 842188596 241832
691866046 807275256 421148
183196557 500863051 105754
205505288 762626354 327283
401022020 708067218 236250
365196810 452006987 918956
774069077 936453415 344702
686759263 990700361 744610
971969454 977218369 67483
735090912 759302780 797507
541867175 997332269 197289
621947923 813547042 655445
28627531 648232907 650845
770552009 966844753 668168
507654422 990536288 461360
510506995 896438492 348971
640697265 705321445 784928
263211447 859209830 331509
547400724 919063635 244608
582197007 851763407 825154
56875405 258061963 548354
102543787 465517752 441400
320178303 852944341 765910
603172730 714485076 318524
632791009 919047283 232661
12087226 953622316 954704
487961588 792584846 299026
379533018 712142577 146934
157316628 892497731 639585
839969357 921115704 570316
574265302 583788878 229709
45197989 52778622 677412
82647292 366635842 927852
780795383 786783750 16364
357697290 857299885 296295
542105081 810664804 821193
108504460 157132268 582094
956513574 982349637 780655
966032941 999639941 232419
206494206 805393074 213452
431646680 621618833 972083
472385506 491154750 451008
682849983 957777681 144006
693229828 722964906 748868
742047441 907265046 262973
442215749 612455513 937025
704587112 826520762 392329
64044967 963865193 840768
836189385 895214253 63681
967729417 998588760 196569
242607710 561031283 72055
213593997 548070591 410364
265950830 531349039 799952
23828815 181864559 521953
767833162 967213034 686368
536279915 685351327 181601
131972953 958891631 907706
133478073 203022766 580870
500792861 967886131 188529
704996874 744080747 929601
952284365 962808899 284831
143364193 917538245 992699
89016922 898059829 771243
118670252 782389853 725716
194643770 469932065 823131
741044309 974933082 586279
599731792 827145700 170275
33169949 176781293 280198
2095268 749318396 983768
153142618 683714170 538963
939908009 952881897 338602
160292421 871166346 420757
275319452 512268193 918859
634325517 736257522 53662
855290718 890002487 206057
658694461 909951592 167985
736802598 876967148 515482
576218080 645524298 970876
586020503 956808088 707183
790016961 812294060 112421
316894810 766849505 838717
364585535 702778476 54721
572755704 726732183 780722
586066014 979378257 378287
449641690 548597591 431179
42657411 766728640 864121
752135260 854864334 391112
178598659 181270495 399367
308766027 920048763 702262
774005841 932980851 547777
894252045 940461535 671277
582482256 947401598 274997
440367331 832657377 736868
753958917 940193552 437479
13159595 119773039 693983
215503528 810043315 35111
645292692 755567416 763237
824376151 881821635 27947
328732491 418409542 411451
170375750 551276149 784732
902947944 937429637 493256
693655679 745104059 101797
339240122 748717858 301638
984875582 997864554 328282
628450905 879409315 355342
94611279 437061627 923277
877801707 933641703 215930
951343737 973886175 894512
629268193 828230667 753759
361342798 795256620 548150
254301116 291764324 254046
931285696 960463737 303217
