4610 198
466573198 815748539 522021
717322896 973180774 226064
377353161 739979005 557755
143158108 677101904 243416
62806093 714866864 878549
705036747 958254773 73995
930194038 945438967 865839
292351440 482162031 65742
409575014 912872639 30347
516362470 591261276 442654
780230828 899258994 962407
672618725 954049058 635017
648124201 992954478 117009
220929846 563613150 53140
880145145 970465408 89895
874915842 973175061 792689
305273689 459961969 198242
768164135 802116806 268901
520710813 988500476 294365
118481598 496230170 865926
352578272 796764225 583218
285664726 584227795 467920
865592450 998436389 68325
381527132 867051073 686530
589766615 866988658 915652
965204798 999597598 365485
119239777 841807753 694711
824861966 901927075 342252
121993091 580291808 584806
730317910 783086996 9172
349784424 395763323 993210
55952655 792645286 10060
813059459 933761980 97992
497060032 716242209 275037
100580238 506655465 371277
274891546 803970111 207098
103284310 519920875 350011
551755742 782561203 267041
246129867 439859750 933029
170718374 293422584 202601
932712790 968736891 95415
775075476 895170576 753345
221987286 845150378 6933
495328509 537618540 308932
905307381 978050846 757260
52735333 305428836 793457
622124679 668426064 864000
953945185 973181230 384482
991661066 994732144 806196
175133078 324317443 600131
441858861 566233263 686700
511035929 799427622 5200
741917153 863106810 709980
258930750 791943041 167137
4484484 959889835 794998
290659005 736727412 55517
519490738 536364080 517226
715833572 938024500 766364
454973992 870685802 833519
256047051 705808869 406333
172478661 217232827 137868
617771350 769538609 337137
661942077 862383378 665657
732633653 913309570 239501
549393906 974828761 444979
448878759 922502049 892699
715177841 768786306 861439
135215975 748388592 796538
303171659 761427121 834614
71876936 817480152 614231
645169492 784554492 492681
435278709 442348056 622606
100049082 284285946 446450
971156805 978814523 382726
538432917 904037492 581973
666613216 717596716 963488
739017537 829731430 384285
441681063 703067761 366986
461173101 632825556 113231
978384937 979213492 263550
269944318 430086825 570967
758736659 943861232 63428
179975388 234183726 872775
797374011 949924786 934084
905328247 957659383 903402
328728043 997786539 922923
255366483 889489807 706158
411092643 830397385 438845
727708874 870907600 955725
33324299 827903769 927088
13351827 219443652 926797
759510768 947226327 404451
136253895 196086664 319890
888047532 912627225 67802
343432605 813289769 802871
957117386 971774976 832033
767951998 832578611 869836
71327752 253592597 128669
707250315 983168755 441510
897398042 998892307 36654
504847581 521288100 214278
665582249 694071258 786547
895521548 918431559 61533
909811481 973119655 291803
652751370 975615003 656141
338491455 361613081 982237
341651631 594836240 364768
25726226 237135910 46018
217873221 379196811 312673
855207174 996337625 689385
204994618 601379471 685636
760791549 834954970 877758
797976421 822395255 337124
52448306 873085454 728298
299890896 720028687 49938
738714118 739978736 881559
682094372 853102309 487969
142781833 594357841 182065
238733957 524674493 805829
292702066 880602404 172189
234113904 305917831 490042
268255250 590051162 368488
849779482 945014413 989102
365961553 441743892 848089
521281274 527020139 91715
475374511 852850892 210789
879605701 953012702 947225
112791234 868748856 233114
924543267 999557584 836303
991319755 991348127 445237
505970829 826463295 179397
376345625 443630685 324159
286572457 729343568 37939
265104631 597870731 572258
349154439 539641257 793075
491011260 998724846 570496
948703840 961005987 887333
481342035 614056472 289250
606545516 783005769 232342
798231545 913440087 811027
523779852 556663248 74789
570833750 887612597 122861
641563896 770055074 87479
184615062 344385590 591503
761173892 762860623 183434
195889010 610449463 675011
62869459 73119585 915334
150842882 967076210 738015
457113057 849423308 898853
527862437 567506704 912506
452094383 624988713 356438
967989443 986676572 841741
711645597 956444272 500546
149037659 575165541 922904
811117248 819918464 208192
929048398 965323110 121155
671317841 677068331 609126
588427429 826247254 115841
488892192 951126118 611522
106625006 759561121 725258
757992119 823987144 460182
154698264 992783279 471695
52478854 335192122 948495
242215694 683708900 484892
153911568 694168156 781823
190577550 371353578 328456
460319531 820210810 94793
196238101 532689185 447719
880590435 989305796 712213
177234822 480763222 684477
222321026 556046465 412311
610071611 866803895 278926
997562535 999882231 128020
307231261 529321481 53934
836150472 933123441 357526
159071075 387506395 175854
177025351 270876424 788703
737964798 802932394 466438
252813224 447239743 384779
664217536 949934975 417495
461536380 803140834 252753
279297071 313106829 82071
251845283 930604113 7652
406100101 628516854 513110
339844769 949921413 382674
13425298 847106321 802330
871328567 998139598 507482
919472526 926885263 861094
691807446 806709938 783745
145910585 369350133 730058
748280558 797587412 86460
429919158 546041648 656639
997706578 998908144 433231
399483986 860333077 804892
796647877 949070184 72561
474792580 980933661 867647
428880843 531750249 998816
144575949 801234184 267786
855264467 880248355 466763
511984568 683729329 907044
887462415 937345007 349814
157804728 483610787 847509
159962127 219169577 185359
240277649 285049486 400892
721018531 912303584 986370
304542079 421251457 231263
344817434 833781331 309920
974479560 984057205 300046
857612009 987433345 493741
212128238 601443194 486320
213365222 850337125 139670
651215230 842671926 147633
500190516 669313295 403519
606324456 967723952 489652
239532193 744100815 447698
150696754 399888151 787378
504186036 642675082 445284
25266074 85819002 377503
946608735 970530869 386163
559141233 743755410 772354
174370111 888802289 67588
955818441 988167718 995984
60340917 652495426 415659
634472896 664453177 449960
621723052 959531540 394534
296940661 406828464 457379
468046924 906118343 240426
200448497 622662160 248052
777843177 832788518 78149
446411294 922949820 315286
79677415 717421538 157782
39089629 396470429 959686
201264691 746288274 975995
935764041 965906597 907258
243352551 678709365 571228
850558024 907411963 218025
442893524 460506343 867991
583485277 786319810 369210
514360741 956129378 589012
886690570 905277080 408562
369544163 377561615 88058
555725766 981137690 26908
795985486 871872668 693341
961235773 999623641 55365
779127026 891723248 738979
31882670 118072871 664752
408354024 665194520 657058
411555252 933504329 420915
289859982 499640474 894875
361520046 999034682 394561
18059685 464405842 916306
212698419 247908637 763308
459102123 899757209 202422
477548551 618536632 843482
12432882 449826966 459633
823590378 993993541 22682
343995412 357380075 543782
22586292 449664370 859370
873980572 989404753 131096
336471989 411688955 75909
818973288 867168103 234568
960640377 978622933 243884
14292632 546193587 263846
923266786 937327965 29646
529564462 849118803 994152
423960954 603769885 662290
204336503 619829799 43379
525683288 842151067 733907
516216109 634230349 94652
54601690 391253069 942570
867077048 886952612 427687
954392999 983335161 946717
865406221 939478049 356955
588220507 729467650 985082
268524162 447720270 656399
356190897 581031657 501852
648974716 911438471 466906
385182941 600941431 678954
673098963 951975875 460351
830969152 855417597 282558
1823596 534113959 903502
809991553 993160845 273677
621461294 958055068 827241
915171724 915481941 858265
970644967 992423757 302420
977104072 980894895 174285
887632000 974111368 606748
236244605 940730603 581914
797679389 939213114 54533
606031555 899397255 249837
232032505 576337188 963662
55876677 644751446 133479
140523865 919894588 240774
798158896 958406451 140202
841556102 951854003 166506
66592162 887890116 599205
330477974 467795782 527661
779044205 786954004 355437
277674139 537047429 314128
318422002 347642909 913630
50098889 61812229 267507
769185247 775044003 62551
471444420 741711562 508735
155026216 525016906 9220
415173542 425252800 349108
41756790 952744902 460543
225207060 939154682 565661
316546698 709935131 990214
5648546 803440779 60617
681453636 971696476 651754
41839513 383738431 915734
223424379 605716537 809130
289006349 452232805 503618
795412831 805006519 734761
274308439 915028446 205750
50081713 778068039 270626
320854524 879808121 102853
375064094 442131840 601291
522935036 661123558 848870
654106999 806482137 232986
808364572 992452720 482976
49358906 277073221 192395
146344801 561007922 962023
279342628 784389754 169432
362415406 388495992 475782
992172903 992950429 909936
348612268 624333132 789996
700615177 883490388 753695
367048980 368520070 331986
962853745 975306500 933001
772343217 885581185 658128
353968686 454188684 291325
323670298 535092528 515513
332349602 835636679 461790
671274675 865894188 10374
320722792 368836495 559570
862227589 972284026 500464
903404792 970324768 604048
622292364 855796544 176018
21853890 536006934 845097
734608160 862971246 579126
255694746 627181971 610049
94021319 670541657 856350
647404058 937493392 123784
744391972 847668893 166050
500997401 928704576 607103
176050714 991723415 877786
11699930 417206008 645183
55894943 368610790 322445
659682832 749194069 497374
985016197 992613504 98746
901735603 987310732 381009
995516569 998683864 454430
964685584 979720861 355284
914684040 917078741 573619
633674767 865245910 125923
32860582 884597753 273288
156244936 374696694 486518
38485076 301625484 619739
894481567 987065074 877103
838898520 861842602 625387
726738959 831254301 727916
477058682 636533816 848920
180804339 663971641 581755
308131492 815426884 75514
116295184 223552409 322677
529559945 747619948 610145
433916035 853571097 817734
166530761 492048505 724343
987446802 992740384 653925
335781050 701697238 389055
945454014 959648732 740388
89840045 393645865 206092
409327154 769034349 274369
665201958 915876447 865085
903990092 918239904 557477
547529597 563672851 366785
390644812 644347547 559965
206851938 674000173 525779
38842214 757764910 688721
47581555 774184022 616570
792354414 910593117 979392
390611295 661289643 484607
169050593 430922031 829910
403467284 713943771 281521
137905232 989799037 822670
899187181 936039376 955211
670658709 896587221 545132
652339400 937438889 496453
834055958 954917056 767348
243307859 641919549 246943
978814275 993666946 633776
592756453 639443102 543355
177251665 279055932 919623
266101681 348991071 601550
781740105 878075978 139602
143234190 536277499 677017
993819254 997130333 647615
29958507 738273962 343429
675085813 698028209 924569
309546911 491055820 922603
654796723 982151046 700395
152741242 971175028 337424
630661368 765529352 194820
16199400 235810989 421112
850752051 904873496 190964
619057649 956277649 738589
803040811 888056049 579933
722611816 888723012 870151
293393499 676394740 75421
789408961 909139221 700884
317117030 776997585 887073
32248292 420220598 568799
329962211 966859592 96023
773822686 951094617 334687
295817952 994626583 85100
837100296 849493327 981048
732586303 783795229 338024
796727261 929665441 191529
757764857 825327499 593746
709647345 896148318 878623
964206659 977738968 576716
640711587 643434117 491143
816113194 899442862 587700
806741974 929765036 808840
328918007 361883647 718613
734818576 898794760 300978
308016135 850161853 850093
68644524 359750576 765075
695090906 833670987 323502
269334482 343561081 639756
320335975 364376103 200133
694276639 749315052 979300
186621187 523961185 509104
31466470 738728404 925804
10538618 940321464 791676
807818288 947083108 803033
919226720 933487861 633936
859804430 928888411 803478
573949114 732437698 776189
946777036 978329359 198936
211669037 708639187 818286
248061575 331406756 641439
492353413 998065790 253375
663729916 861933153 100927
869645633 991965019 342347
33382617 931441592 328812
771974621 844266826 733029
809780615 900208479 970066
893513249 934657093 494115
679579579 855435293 113809
427953242 567673194 678975
564678075 844088962 948208
849609918 924771385 749086
119764074 710170277 737819
662302464 737102126 925554
631714518 889546334 989839
534378383 695319985 102833
15666280 424040055 56636
133260998 539319490 636965
110622857 635020706 935392
352297800 723703547 917938
457334763 822299797 193273
985879347 987674504 361527
467239266 751407689 90462
46852658 287621992 218961
222692044 486288418 629800
465942681 759294889 170926
190582346 549814848 893962
822741886 985356765 585610
554681414 611151777 829310
711642296 822888121 181488
91103359 723577036 291787
483631314 819007832 270216
907054787 960809504 634287
146250376 884161387 920665
357975772 938437365 49688
705849930 752882918 574659
524997263 690132628 795238
122216052 191744807 503923
185235468 277872638 679338
892387429 989828766 725137
696011534 811385364 77800
141625207 393972941 582611
84796166 689193771 785456
995544626 998400101 662050
656221469 827592786 51364
547486305 819289934 696048
452472370 967739931 848738
938212853 957091814 935201
733634777 978545455 496655
985594678 994073683 467223
85220213 808365306 210339
871647969 985641038 175508
164345968 628137850 844656
841991008 975039531 294832
325792767 984659190 80052
543153333 579766577 366565
397495767 639001462 905342
985910473 988662631 29713
751212353 770461030 656310
206191368 406000498 752558
112965895 590918835 34611
10470690 497642597 32310
106559447 770979437 568221
992398120 997832978 949221
562689403 916539716 899492
834555266 910487164 417026
216552873 857567583 821884
315808455 832616552 241416
144496423 721293679 322194
113761055 439968452 931533
927563591 989455341 115315
291796631 958730696 376
500308805 866209768 22530
633655084 738097346 13575
403177998 759861013 614630
454537683 484786142 32623
607958390 763951084 834048
204166832 669193099 846638
400605699 865057917 703455
581881869 901480997 204766
740268742 862460901 567762
779884241 887518927 524566
650040074 802053654 8992
537843215 944359784 341131
73523718 334632049 62194
786238498 876393309 831318
191844411 336295584 978080
45338972 48545178 925975
248027900 397401501 340659
674592350 723190828 57237
945847255 988018690 304923
350352497 871676646 338280
928893502 971064882 306616
239457356 845656006 927205
339290556 664488902 134256
956066806 969462513 394132
531423168 861509684 589946
313793236 606549450 918779
568252813 927802963 698257
203732172 256920354 208193
212728986 914461142 450365
354374624 906753681 873961
350921555 918808814 786174
456221626 746213029 694111
130814683 421831999 431792
67151447 87197393 120282
522713616 920651217 498292
991210382 993612714 293520
632970890 905663525 465770
307802502 828911624 530409
740564701 948600492 499178
167598915 204164688 404497
109528367 439737498 747756
874523311 876816346 138344
99929601 190742046 471471
478342188 919713854 543464
715271460 733199883 332906
840235063 904822497 580773
3425235 497145423 753408
621307508 950591367 540824
982722364 987612726 733899
933668388 969474526 837081
494043366 884799794 463054
704237345 940023979 855267
40041222 335862940 108194
897469364 944606968 21177
171342177 562967167 943200
977378303 984202600 427768
183415062 465067882 366536
600338889 756128136 353316
794816726 985528864 698549
657305594 975718542 716919
999726849 999912923 821759
834945519 959162911 404170
710620292 711927298 193715
816077456 820277481 877021
785868665 806764055 754097
273443297 496198009 472997
156650081 775771230 158177
369365549 945886240 914107
996420263 997426780 983307
398154837 997698071 61319
207538697 908195255 934773
447643578 950194432 969774
892392987 992772392 633765
420092482 700289575 610907
913424856 985910510 578516
323755511 457062431 839326
518028423 901923169 619146
912154881 913245204 909004
945485961 954272295 512302
808983134 960553789 959328
758025048 943865128 935654
547184664 775840314 758580
664801944 729484060 296612
6352395 743408627 50049
594606538 600442204 409874
661622853 747148517 850449
705903432 788997260 826982
134523479 753257329 342110
584670121 835450452 701290
630148832 763660554 267898
