50 13614
778644846 991797764 554112
358082072 685482808 752064
261512757 965914035 997754
387651611 980802971 206983
856988083 882862051 893892
16932703 840379303 489369
599689388 815382636 828577
605907652 738196720 572227
286348052 720468657 116710
352233751 757502242 252920
878053903 993795189 712344
287202841 780534828 458392
179774513 387197135 275661
684632022 897196861 747650
812836380 887491001 922213
943140087 969548873 978016
225272025 648983739 326312
431387031 699972538 95094
765108900 969581511 494445
829748684 971879161 60859
933570528 994327336 28516
798311916 857223036 706637
859289306 982074352 810966
171557693 245387503 459530
34379414 765387750 223605
566053558 993404126 532159
463691951 699758151 824047
846130070 891242539 904981
174800694 444080915 527101
460045413 987739840 896164
45271526 49729554 438352
916020704 967745578 483042
857004909 988266188 452464
170450413 353459875 138982
755249125 916690929 737952
517749139 649723750 188704
609774818 715559621 364577
970259532 990315020 342298
634223503 738997258 334357
926319592 991355646 658622
429027575 436091299 662028
251619687 458228312 567885
6223667 392065348 750704
862226307 888840343 917246
205020420 736721094 486634
476402126 509459622 866833
143323888 680034069 352505
947760943 984472948 6505
438065381 753685358 725351
596079908 951904912 767432
