20 7833
876284835 910652926 57220
7414137 78554254 574396
5618513 562795240 222184
936923783 994661289 375070
365025025 940454583 39838
296985583 991197513 300855
798706471 816175063 496716
876352374 910848074 478561
926930882 951847158 126482
138385335 194863028 310592
607999893 740699765 519381
112725235 823796421 474432
950352940 990921593 622069
227042729 238149604 401631
520620331 710063098 839793
845963051 889184953 535084
824088349 861943172 453790
805354661 951745828 626699
687209345 776614911 588801
981625574 982609196 527581
