24 5133
286565243 401104495 665499
303131319 544482845 675451
238184188 320100201 972791
237387880 839112237 754513
693360892 971455591 222590
943317548 989891558 966195
152781607 553470466 338779
585924712 872846263 983350
713916419 966843197 742823
136624992 348618279 615385
517597336 720054699 167543
555990793 844437448 242855
249523718 297578906 137975
52847177 984393867 329133
447617157 996605662 343340
298550594 351950457 87083
395103619 539655105 446415
291553023 352837874 762746
548686427 793142158 945936
252197530 871163131 104491
618186157 633857211 522224
1043790 439263923 154673
563272688 604131357 66514
109702123 651367150 478840
